records;tweet;hashtag;mentions;reply;like;retweet;date;time
220;"Abracadabra.

The World's Fastest Commercial starring @kobebryant and @davidblaine.https://amp.twimg.com/v/04c8094f-be09-4dfc-be7d-aa870bded81a …";;['kobebryant', 'davidblaine'];32.0;1200;872; 3 Jul 2015;9:58 AM
221;"Find Your Fast. #nikezoom
http://Nike.com/Zoom https://amp.twimg.com/v/71d00ea6-ec10-4320-85ed-d5d43b650fa7 …";['nikezoom'];;124.0;3500;2700; 2 Jul 2015;12:23 PM
222;Don't just fill a role. Define it. #justdoitpic.twitter.com/RAJMMDkXf8;['justdoit'];;23.0;1600;1000; 16 Jun 2015;11:08 PM
223;"""The only true disability in life is a bad attitude."" - @Blake_Leeperhttps://amp.twimg.com/v/e0ed8d0c-6703-41ec-b16f-261a114284ec …";;['Blake_Leeper'];37.0;1300;1200; 16 Jun 2015;10:41 AM
224;How you say unstoppable. In French. #nikecourtpic.twitter.com/PXxttWuP7N;['nikecourt'];;33.0;978;730; 6 Jun 2015;8:15 AM
225;"Presenting Nike Tech Hyperfuse. Available now.

App Store: http://swoo.sh/1KNkB15 
Google Play: http://swoo.sh/1KqbF13 pic.twitter.com/VDo2mVcaET";;;6.0;219;118; 28 May 2015;7:02 AM
226;Everything you need to know about Nike SNKRS:https://amp.twimg.com/v/cebe2a35-f7fa-4e54-b523-5858ad8e04bb …;;;196.0;1300;797; 22 May 2015;9:16 AM
227;"Doubt: Five letters. One syllable. A manmade expectation of failure.

But it's only a word. You decide what it means.pic.twitter.com/zX9eHPQYbJ";;;75.0;4000;3200; 2 May 2015;6:00 PM
228;Building off his past to prepare for his future, Marcus Mariota transforms weaknesses into strengths.https://amp.twimg.com/v/57453c3f-25a2-4fcc-abf4-c1b1d145e4f2 …;;;31.0;928;728; 21 Apr 2015;9:03 AM
229;Don’t let you stop you. #betterforit http://gonike.me/bfiittw https://amp.twimg.com/v/a1eb640a-b8c2-42e9-b4d1-49a29fa2a285 …;['betterforit'];;304.0;14000;8700; 12 Apr 2015;2:59 PM
230;Ten and counting. #justdoitpic.twitter.com/xkD1oPDzlE;['justdoit'];;88.0;4300;3600; 7 Apr 2015;7:28 PM
